Country,Age_Group,Gender,Daily_Screen_Time_Hours,Peak_Viewing_Hour,Content_Category,Device_Type,Subscription_Type,Platform,Weekly_Sessions,Average_Session_Duration_Minutes,Number_of_Platforms_Used,Internet_Connection,Content_Language_Preference,Binge_Watch_Frequency
China,Adults,Male,Moderate,20,Animation,Smart TV,Basic,TikTok,14,31,3,Broadband,Chinese,Never
Philippines,Adults,Female,High,23,Animation,Tablet,Basic,Netflix,22,60,4,Fiber,English,Weekly
United States,Adults,Male,High,20,Sci-Fi,Mobile,Free,Disney+,22,55,4,Fiber,Arabic,Multiple Times Per Week
Malaysia,Adults,Male,High,23,Horror,Mobile,Standard,Amazon Prime Video,22,54,3,Fiber,Hindi,2-3 Times Per Week
Israel,Young Adults,Female,High,18,Animation,Desktop,Basic,Amazon Prime Video,20,66,2,ADSL,English,Never
Nigeria,Adults,Male,Moderate,18,Sports,Desktop,Basic,Disney+,12,44,2,4G LTE,Spanish,Never
Vietnam,Adults,Male,Moderate,18,Drama,Mobile,Free,TikTok,10,25,2,Fiber,French,Daily
India,Adults,Female,High,19,Sci-Fi,Desktop,Free,Disney+,15,61,1,Broadband,Japanese,Weekly
Tunisia,Adults,Male,High,23,Documentary,Mobile,Free,Instagram,14,31,1,Broadband,Korean,2-3 Times Per Week
Italy,Adults,Male,Moderate,21,Horror,Mobile,Free,Instagram,13,29,3,ADSL,Korean,Daily
Indonesia,Young Adults,Male,High,20,Thriller,Tablet,Basic,Netflix,21,50,3,Fiber,Spanish,Daily
Italy,Children,Female,High,20,Documentary,Desktop,Free,Instagram,18,22,2,ADSL,Arabic,Never
Chile,Young Adults,Male,High,20,Animation,Desktop,Standard,Instagram,21,18,4,4G LTE,Portuguese,Daily
Belgium,Young Adults,Male,High,19,Romance,Tablet,Free,Amazon Prime Video,21,58,4,Broadband,Arabic,Daily
Egypt,Children,Male,High,21,Action,Mobile,Standard,Amazon Prime Video,19,55,1,4G LTE,Japanese,Multiple Times Per Week
Argentina,Children,Male,High,19,Horror,Tablet,Premium,Disney+,19,60,2,ADSL,Portuguese,Monthly
Morocco,Adults,Female,Moderate,19,Horror,Mobile,Basic,Instagram,8,23,2,Broadband,English,Monthly
Chile,Adults,Female,High,23,Romance,Desktop,Basic,Amazon Prime Video,11,42,3,Fiber,French,Monthly
Italy,Adults,Female,Moderate,20,Sports,Desktop,Premium,Instagram,15,30,3,Broadband,Portuguese,Monthly
United Arab Emirates,Adults,Female,High,20,Documentary,Desktop,Premium,Disney+,17,64,3,4G LTE,Japanese,2-3 Times Per Week
New Zealand,Children,Female,High,20,Romance,Smart TV,Basic,TikTok,19,21,4,4G LTE,Chinese,Multiple Times Per Week
Spain,Adults,Male,Moderate,19,Action,Tablet,Premium,Disney+,10,40,4,5G,Chinese,Weekly
Ghana,Young Adults,Male,High,18,Comedy,Smart TV,Free,YouTube,22,41,2,Broadband,Hindi,Weekly
Ecuador,Adults,Female,High,18,Comedy,Desktop,Free,Instagram,16,18,2,Broadband,English,Multiple Times Per Week
Australia,Adults,Male,Moderate,23,Comedy,Desktop,Premium,Instagram,10,38,3,4G LTE,German,Multiple Times Per Week
Chile,Children,Female,High,20,Drama,Smart TV,Premium,Disney+,16,45,3,5G,Korean,Daily
Belgium,Young Adults,Female,High,21,Sports,Desktop,Basic,Netflix,24,62,4,4G LTE,Portuguese,Multiple Times Per Week
South Korea,Young Adults,Female,High,22,Documentary,Tablet,Premium,YouTube,21,41,2,ADSL,Chinese,2-3 Times Per Week
Ghana,Adults,Male,High,20,Drama,Mobile,Basic,YouTube,20,40,2,ADSL,French,Weekly
Thailand,Young Adults,Male,High,20,Action,Desktop,Premium,Netflix,24,55,3,5G,Korean,Daily
Thailand,Adults,Female,High,23,Action,Smart TV,Basic,TikTok,13,31,2,Fiber,Chinese,Never
Bangladesh,Adults,Male,Moderate,21,Drama,Mobile,Premium,Netflix,12,61,1,Broadband,Korean,2-3 Times Per Week
Chile,Adults,Male,High,18,Comedy,Tablet,Basic,TikTok,22,33,3,4G LTE,German,Weekly
Egypt,Young Adults,Female,High,22,Action,Smart TV,Standard,Netflix,22,63,1,Fiber,Chinese,Weekly
Pakistan,Adults,Female,Moderate,20,Romance,Mobile,Basic,Amazon Prime Video,10,59,1,Broadband,Korean,Monthly
Nigeria,Adults,Male,Moderate,18,Sci-Fi,Tablet,Premium,TikTok,12,25,2,Fiber,Korean,Multiple Times Per Week
Israel,Adults,Female,High,19,Drama,Mobile,Free,Netflix,16,69,3,4G LTE,French,Weekly
Indonesia,Children,Male,High,18,Sci-Fi,Smart TV,Standard,TikTok,19,30,3,ADSL,German,Weekly
Ghana,Children,Male,High,21,Comedy,Smart TV,Standard,Netflix,17,47,3,ADSL,Arabic,Weekly
Ecuador,Young Adults,Female,High,22,Comedy,Desktop,Basic,Instagram,20,17,2,5G,Hindi,Never
Norway,Young Adults,Male,High,23,Horror,Tablet,Free,Amazon Prime Video,24,50,4,ADSL,German,Never
South Korea,Adults,Male,Moderate,21,Animation,Desktop,Free,YouTube,21,43,3,ADSL,Korean,2-3 Times Per Week
United Kingdom,Young Adults,Male,High,19,Romance,Tablet,Free,Instagram,24,39,4,5G,Portuguese,Daily
Malaysia,Adults,Female,High,23,Sci-Fi,Smart TV,Free,YouTube,20,33,3,ADSL,Spanish,Daily
Chile,Adults,Female,High,19,Sci-Fi,Desktop,Basic,TikTok,16,35,3,Fiber,Portuguese,Monthly
Tunisia,Young Adults,Female,High,20,Documentary,Mobile,Basic,YouTube,24,42,1,ADSL,Japanese,Multiple Times Per Week
Kenya,Adults,Female,High,23,Romance,Tablet,Premium,Netflix,22,55,3,Broadband,English,2-3 Times Per Week
Thailand,Young Adults,Female,High,21,Thriller,Mobile,Premium,YouTube,23,39,4,Fiber,Hindi,Weekly
Belgium,Adults,Male,Moderate,20,Animation,Desktop,Basic,Amazon Prime Video,12,66,4,Broadband,Japanese,Daily
Thailand,Adults,Female,High,23,Thriller,Mobile,Standard,Amazon Prime Video,15,58,3,5G,Hindi,Multiple Times Per Week
Sweden,Young Adults,Female,High,19,Drama,Mobile,Standard,Disney+,20,43,5,4G LTE,Spanish,Daily
Netherlands,Young Adults,Male,High,21,Documentary,Mobile,Free,Instagram,24,24,4,ADSL,Chinese,Monthly
Israel,Children,Female,High,21,Action,Smart TV,Standard,Instagram,17,30,3,5G,Portuguese,Never
Turkey,Adults,Male,High,22,Documentary,Tablet,Standard,YouTube,15,41,3,ADSL,French,Multiple Times Per Week
Malaysia,Adults,Female,High,18,Comedy,Mobile,Free,Instagram,11,32,4,4G LTE,Japanese,Daily
Bangladesh,Young Adults,Female,High,18,Sports,Mobile,Basic,Disney+,22,45,2,5G,English,Daily
New Zealand,Adults,Female,High,22,Action,Desktop,Basic,Amazon Prime Video,15,42,3,Fiber,Hindi,Multiple Times Per Week
Vietnam,Adults,Male,Moderate,23,Sports,Mobile,Standard,TikTok,11,18,2,Fiber,Arabic,Daily
Netherlands,Adults,Female,High,18,Documentary,Desktop,Premium,YouTube,13,28,3,ADSL,Chinese,Multiple Times Per Week
Peru,Young Adults,Female,High,22,Romance,Tablet,Free,YouTube,24,35,3,4G LTE,Japanese,Daily
Spain,Adults,Male,Moderate,19,Action,Smart TV,Standard,Disney+,10,42,4,5G,Korean,Never
China,Young Adults,Female,High,19,Sports,Mobile,Standard,Amazon Prime Video,21,59,2,4G LTE,Spanish,Weekly
